Customer_ID,Marital_Status,Dt_Customer,NumWebVisitsMonth,NumCatalogPurchases,NumWebPurchases
101,Divorced,6/16/2014,4,4,1
102,Single,6/15/2014,7,3,5
103,Married,5/13/2014,3,2,2
104,Together,11/5/2014,1,0,7
105,Single,8/4/2014,3,1,7
106,Single,3/17/2014,4,7,2
107,Married,1/29/2014,10,10,6
108,Together,1/18/2014,2,1,5
109,Married,11/1/2014,6,2,4
110,Married,11/1/2014,6,2,4
111,Married,12/27/2013,5,6,1
112,Together,9/12/2013,3,1,4
113,Widow,7/12/2013,3,6,1
114,Married,10/16/2013,1,1,6
115,Married,5/10/2013,25,0,1
116,Married,11/9/2013,2,1,4
117,Married,11/9/2013,2,1,4
118,Divorced,1/8/2013,1,0,4
119,Single,7/23/2013,2,0,8
120,Single,1/7/2013,1,0,7
121,Together,5/28/2013,5,2,7
122,Single,3/26/2013,5,1,5
123,Married,3/15/2013,2,1,4
124,Married,12/2/2013,5,1,7
125,Single,11/23/2012,8,8,6
126,Single,10/13/2012,2,1,7
127,Together,9/14/2012,9,2,8
128,Together,9/14/2012,9,2,8
129,Widow,6/29/2014,2,0,5
130,Single,5/31/2014,5,4,2
131,Divorced,5/30/2014,5,1,6
132,Married,4/27/2014,4,8,2
133,Together,11/4/2014,1,0,6
134,Married,3/17/2014,7,1,8
135,Married,10/29/2013,2,0,7
136,Single,9/10/2013,4,3,1
137,Married,1/8/2013,2,3,1
138,Divorced,10/5/2013,0,0,4
139,Single,9/5/2013,2,4,4
140,Married,4/25/2013,5,5,3
141,Single,4/20/2013,2,0,8
142,Married,3/30/2013,11,9,6
143,Single,1/3/2013,8,2,5
144,Single,2/14/2013,4,0,8
145,Divorced,2/14/2013,1,2,6
146,Together,11/1/2013,4,5,3
147,Married,3/1/2013,1,0,8
148,Married,12/19/2012,5,4,4
149,Divorced,12/15/2012,7,2,5
150,Single,2/12/2012,7,2,8
151,Married,9/17/2012,1,0,9
152,Married,11/9/2012,4,8,3
153,Single,12/5/2014,1,0,8
154,Married,4/28/2014,4,6,1
155,Married,3/29/2014,3,0,8
156,Single,6/3/2014,2,1,7
157,Married,4/3/2014,1,0,7
158,Together,4/2/2014,4,2,5
159,Married,3/2/2014,2,8,0
160,Married,1/1/2014,2,2,7
161,Single,12/12/2013,1,0,17
162,Together,11/15/2013,1,0,5
163,Single,9/20/2013,3,0,7
164,Married,5/9/2013,1,0,5
165,Divorced,8/31/2013,5,1,7
166,Together,7/30/2013,1,1,6
167,Married,7/30/2013,6,3,5
168,Married,7/27/2013,3,6,1
169,Single,6/22/2013,3,0,8
170,Single,6/22/2013,3,0,8
171,Married,11/1/2013,5,6,2
172,Divorced,5/1/2013,6,3,7
173,Married,11/21/2012,5,2,5
174,Single,11/11/2012,2,0,9
175,Married,9/28/2012,2,5,6
176,Together,9/27/2012,9,4,5
177,Widow,7/9/2012,3,1,9
178,Together,8/13/2012,10,4,8
179,Married,11/8/2012,6,9,3
180,Married,2/8/2012,0,0,6
181,Together,6/25/2014,4,4,2
182,Together,6/25/2014,4,4,2
183,Single,5/28/2014,6,1,7
184,Together,4/14/2014,6,3,3
185,Divorced,10/3/2014,1,0,7
186,Single,2/27/2014,1,0,7
187,Single,7/2/2014,1,0,7
188,Married,1/28/2014,2,0,6
189,Together,11/17/2013,8,3,4
